Longitude,Latitude,EC1,EC2,Elevation
-120.039777,34.691501,26.8,40.6,329.165
-120.039777,34.691516,31.0,41.2,329.17
-120.039781,34.69158,23.0,30.3,329.345
-120.039782,34.691595,30.5,44.7,329.385
-120.039782,34.69161,31.3,34.4,329.425
-120.039782,34.691624,27.7,30.1,329.47
-120.039782,34.691638,27.2,29.2,329.515
-120.039783,34.691649,34.1,30.2,329.565
-120.039783,34.69166,37.0,34.3,329.59
-120.039783,34.69167,41.0,33.9,329.595
-120.039649,34.691695,17.1,20.5,329.51
-120.039647,34.691687,17.8,21.8,329.45
-120.039644,34.691677,15.2,18.8,329.495
-120.039644,34.691665,17.9,27.7,329.535
-120.039644,34.691652,20.3,26.3,329.545
-120.039644,34.691638,19.3,33.2,329.54
-120.039642,34.691624,22.5,39.4,329.515
-120.039641,34.69161,23.1,27.8,329.44
-120.039639,34.691596,21.0,28.6,329.35
-120.039638,34.691582,24.9,34.5,329.295
-120.039638,34.691567,20.4,28.8,329.235
-120.039638,34.691552,17.1,31.5,329.16
-120.039637,34.691536,16.0,26.6,329.13
-120.039634,34.69152,15.7,25.0,329.125
-120.039632,34.691503,13.8,25.6,329.095
-120.03963,34.691486,21.0,29.8,329.025
-120.039629,34.691469,18.5,25.9,328.98
-120.03963,34.691453,20.0,28.7,328.97
-120.039631,34.691436,19.7,23.9,328.945
-120.039632,34.69142,18.3,25.6,328.945
-120.039632,34.691404,20.3,31.1,328.95
-120.039633,34.691388,22.2,36.6,328.915
-120.039632,34.691371,20.0,26.7,328.85
-120.03963,34.691354,21.5,24.8,328.78
-120.039629,34.691337,22.5,27.1,328.77
-120.039629,34.69132,24.4,29.7,328.81
-120.039629,34.691302,18.6,33.5,328.82
-120.039628,34.691285,19.7,30.6,328.785
-120.039627,34.691268,18.8,30.4,328.745
-120.039626,34.691252,17.7,25.4,328.735
-120.039626,34.691236,22.3,42.5,328.725
-120.039624,34.69122,16.3,36.5,328.67
-120.039623,34.691204,17.4,35.9,328.615
-120.039623,34.691188,15.7,31.1,328.6
-120.039623,34.691172,23.2,26.4,328.6
-120.039623,34.691156,23.6,29.3,328.61
-120.039623,34.69114,18.5,32.9,328.625
-120.039622,34.691125,13.4,35.7,328.62
-120.039622,34.691109,15.1,26.3,328.55
-120.039622,34.691092,19.5,22.2,328.465
-120.039621,34.691075,18.7,32.1,328.43
-120.039621,34.691058,13.0,23.0,328.39
-120.03962,34.691041,13.1,22.0,328.355
-120.039618,34.691025,12.9,19.5,328.37
-120.039617,34.691008,16.6,21.6,328.38
-120.039617,34.690991,13.2,19.9,328.34
-120.039618,34.690975,12.5,16.9,328.295
-120.039618,34.690959,16.3,22.3,328.275
-120.039618,34.690942,16.0,22.2,328.26
-120.039618,34.690925,16.8,26.8,328.26
-120.039617,34.690909,13.8,22.4,328.285
-120.039616,34.690893,15.2,22.7,328.26
-120.039616,34.690876,16.2,22.8,328.185
-120.039617,34.690859,13.3,23.5,328.145
