Longitude,Latitude,EC1,EC2,Elevation
-120.670426,35.297998,56.3,49.8,82.605
-120.670416,35.298011,52.4,48.7,82.66
-120.670407,35.298024,48.9,50.5,82.74
-120.670398,35.298037,49.3,48.3,82.825
-120.670389,35.29805,48.9,61.0,82.925
-120.67038,35.298062,47.6,51.3,83.0
-120.670369,35.298075,38.2,44.9,83.07
-120.670358,35.298088,37.7,33.6,83.14
-120.670347,35.298101,48.7,37.3,83.215
-120.670337,35.298113,46.1,37.0,83.255
-120.670328,35.298127,39.6,32.3,83.22
-120.67032,35.29814,52.9,43.2,83.215
-120.670311,35.298153,64.8,64.6,83.24
-120.670301,35.298166,62.4,48.3,83.24
-120.670291,35.29818,66.0,54.9,83.28
-120.670282,35.298194,57.5,53.0,83.34
-120.670273,35.298207,61.9,50.8,83.305
-120.670263,35.29822,49.9,32.6,83.215
-120.670253,35.298232,36.8,19.1,83.175
-120.670242,35.298244,37.5,26.6,83.215
-120.67023,35.298256,45.6,31.4,83.285
-120.67022,35.298269,40.7,23.1,83.285
-120.67021,35.298282,39.3,19.5,83.2
-120.6702,35.298295,39.9,21.1,83.12
-120.670189,35.298307,46.2,22.0,83.14
-120.670178,35.298319,50.3,26.2,83.18
-120.670169,35.298333,55.2,31.2,83.21
-120.670159,35.298346,54.8,36.0,83.255
-120.670149,35.29836,53.2,37.8,83.31
-120.67014,35.298373,60.9,41.4,83.32
-120.670131,35.298386,60.8,44.1,83.235
